participant,kid,value,isBilingual,languageUsed,accent
0100,K800,2,1,DE,1
0100,K801,2,1,DE,1
0100,K802,2,1,DE,1
0100,K804,1,1,DE,0
0100,K805,1,1,DE,0
0100,K806,1,1,DE,0
0100,K807,1,1,DE,0
0100,K808,1,1,DE,0
0100,K803,2,1,DE,1
0100,K850,1,1,DE,0
0100,K851,3,1,DE,1
0100,K852,1,1,DE,0
0100,K853,1,1,DE,0
0100,K855,1,1,DE,0
0100,K856,2,1,DE,1
0100,K857,2,1,DE,1
0100,K900,3,1,DE,1
0100,K901,2,1,DE,1
0100,K902,3,1,DE,1
0100,K903,1,1,DE,0
0100,K904,2,1,DE,1
0100,K905,1,1,DE,0
0100,K950,3,1,DE,1
0100,K951,1,1,DE,0
0100,K952,1,1,DE,0
0100,K953,1,1,DE,0
0100,K954,1,1,DE,0
0100,K955,1,1,DE,0
0100,K957,4,1,DE,1
0101,K809,3,1,DE,1
0101,K810,1,1,DE,0
0101,K811,1,1,DE,0
0101,K812,1,1,DE,0
0101,K813,1,1,DE,0
0101,K814,2,1,DE,1
0101,K816,3,1,DE,1
0101,K858,3,1,DE,1
0101,K859,3,1,DE,1
0101,K860,3,1,DE,1
0101,K862,2,1,DE,1
0101,K863,1,1,DE,0
0101,K864,1,1,DE,0
0101,K865,4,1,DE,1
0101,K906,1,1,DE,0
0101,K907,1,1,DE,0
0101,K910,1,1,DE,0
0101,K914,2,1,DE,1
0101,K915,1,1,DE,0
0101,K916,4,1,DE,1
0101,K958,2,1,DE,1
0101,K959,2,1,DE,1
0101,K960,1,1,DE,0
0101,K961,3,1,DE,1
0101,K962,1,1,DE,0
0101,K963,1,1,DE,0
0101,K964,1,1,DE,0
0101,K965,1,1,DE,0
0101,K967,1,1,DE,0
0102,K818,3,1,DE,1
0102,K819,2,1,DE,1
0102,K820,2,1,DE,1
0102,K821,1,1,DE,0
0102,K822,1,1,DE,0
0102,K824,1,1,DE,0
0102,K825,1,1,DE,0
0102,K826,1,1,DE,0
0102,K861,2,1,DE,1
0102,K866,4,1,DE,1
0102,K867,1,1,DE,0
0102,K868,1,1,DE,0
0102,K869,1,1,DE,0
0102,K871,1,1,DE,0
0102,K909,3,1,DE,1
0102,K911,1,1,DE,0
0102,K917,2,1,DE,1
0102,K918,1,1,DE,0
0102,K956,2,1,DE,1
0102,K966,3,1,DE,1
